id,label,file name,thumbnail,space,filter,type
FRM_1DF_1BIN,"EURO 1 DRAWER, BIN ",FRM_FLT_0001.skp,FRM_FLT_0001.jpg,kitchen,base,flat
FRM_1DF_1DRW,EURO 1 DRAWER ,FRM_FLT_0002.skp,FRM_FLT_0002.jpg,kitchen,base,flat
FRM_1DF_2DRW,"EURO 1 DRAWER FRONT, 2 DRAWERS",FRM_FLT_0003.skp,FRM_FLT_0003.jpg,kitchen,base,flat
FRM_1DF_2DRWLH ,"EURO DOOR FRONT LH, 2 DRAWERS",FRM_FLT_0004.skp,FRM_FLT_0004.jpg,kitchen,base,flat
FRM_1DF_2DRWRH#,"EURO DOOR FRONT RH, 2 DRAWERS",FRM_FLT_0005.skp,FRM_FLT_0005.jpg,kitchen,base,flat
FRM_1DF_3DRW,"EURO 1 DRAWER FRONT, 3 DRAWERS",FRM_FLT_0006.skp,FRM_FLT_0006.jpg,kitchen,base,flat
FRM_1DF_3DRWLH ,"EURO DOOR LH, 3 DRAWERS",FRM_FLT_0007.skp,FRM_FLT_0007.jpg,kitchen,base,flat
FRM_1DF_3DRWLR#,"EURO DOOR LR,  3 DRAWERS",FRM_FLT_0008.skp,FRM_FLT_0008.jpg,kitchen,base,flat
FRM_1DF_3DRWRH#,"EURO DOOR RH,  3 DRAWERS",FRM_FLT_0009.skp,FRM_FLT_0009.jpg,kitchen,base,flat
FRM_1SHELF_LH,"EURO LH, 1 SHELF",FRM_FLT_0010.skp,FRM_FLT_0010.jpg,kitchen,base,flat
FRM_1SHELF_LR,"EURO LR, 1 SHELF",FRM_FLT_0011.skp,FRM_FLT_0011.jpg,kitchen,base,flat
FRM_1SHELF_OPEN,1 SHELF INSET,FRM_FLT_0012.skp,FRM_FLT_0012.jpg,kitchen,base,open
FRM_1SHELF_RH,"EURO DOOR RH, 1 SHELF",FRM_FLT_0013.skp,FRM_FLT_0013.jpg,kitchen,base,flat
FRM_2DF_2DRW,EURO 2 DRAWERS,FRM_FLT_0014.skp,FRM_FLT_0014.jpg,kitchen,base,flat
FRM_2DF_3DRW,"EURO DRAWER FRONT, 3 DRAWERS",FRM_FLT_0015.skp,FRM_FLT_0015.jpg,kitchen,base,flat
FRM_2DR_2DRW_LR ,"EURO DOOR LR, 2 DRAWERS",FRM_FLT_0016.skp,FRM_FLT_0016.jpg,kitchen,base,flat
FRM_2DR_OPI,2 DRAWER INSET,FRM_FLT_0017.skp,FRM_FLT_0017.jpg,kitchen,base,open
FRM_2SHELF_LH,"EURO DOOR LH, 2 SHELF",FRM_FLT_0018.skp,FRM_FLT_0018.jpg,kitchen,base,flat
FRM_2SHELF_LR,"EURO DOOR LR, 2 SHELF",FRM_FLT_0019.skp,FRM_FLT_0019.jpg,kitchen,base,flat
FRM_2SHELF_OPEN,2 SHELF INSET,FRM_FLT_0020.skp,FRM_FLT_0020.jpg,kitchen,base,open
FRM_2SHELF_RH#,"EURO FLAT DOOR RH, 2 SHELF",FRM_FLT_0021.skp,FRM_FLT_0021.jpg,kitchen,base,flat
FRM_3DF_DRW,EURO FLAT 3 DRAWERS,FRM_FLT_0022.skp,FRM_FLT_0022.jpg,kitchen,base,flat
FRM_3DRW_OPI,3 DRAWER INSET,FRM_FLT_0023.skp,FRM_FLT_0023.jpg,kitchen,base,open
FRM_OVEN_2DRW_LH,"EURO 2 DRAWER, OVEN, DOOR LH, 2 SHELVES",FRM_FLT_0024.skp,FRM_FLT_0024.jpg,kitchen,tall,flat
FRM_OVEN_2DRW_RH#,"EURO 2 DRAWER, OVEN, DOOR RH, 2 SHELVES",FRM_FLT_0025.skp,FRM_FLT_0025.jpg,kitchen,tall,flat
FRM_OVEN_OVERDRW,EURO DRAWER UNDER OVEN,FRM_FLT_0026.skp,FRM_FLT_0026.jpg,kitchen,base,flat
FRM_OVEN_UNDER,EURO DRAWER OVER OVEN,FRM_FLT_0027.skp,FRM_FLT_0027.jpg,kitchen,base,flat
FRM_STKD_OVEN_2DRW_LH,"EURO 2 DRAWER, OVEN STACK, DOOR LH",FRM_FLT_0028.skp,FRM_FLT_0028.jpg,kitchen,tall,flat
FRM_STKD_OVEN_2DRW_RH#,"EURO 2 DRAWER, OVEN STACK, DOOR RH",FRM_FLT_0029.skp,FRM_FLT_0029.jpg,kitchen,tall,flat
FRM_TDF_3DRW4SHELVES_O,"EURO 3 DRAWER, 4 SHELVES INSET",FRM_FLT_0030.skp,FRM_FLT_0030.jpg,kitchen,tall,open
FRM_TDF_3DRW4SHELVES_R#,"EURO DOOR RH, 3 DRAWER, 4 SHELVES",FRM_FLT_0031.skp,FRM_FLT_0031.jpg,kitchen,tall,flat
FRM_TDF_3DRW4SHELVESL,"EURO DOOR LH, 3 DRAWER, 4 SHELVES",FRM_FLT_0032.skp,FRM_FLT_0032.jpg,kitchen,tall,flat
FRM_TDF_3DRW4SHELVESLR#,"EURO DOOR LR, 3 DRAWER, 4 SHELVES",FRM_FLT_0033.skp,FRM_FLT_0033.jpg,kitchen,tall,flat
